Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2019-09-30,imoveis_dormitorio_2_pe,"1.230,00",imoveis,dormitorio,2,pe,,,,,,
2020-02-29,imoveis_tipo_apartamento_sp,"4.537,00",imoveis,tipo,apartamento,sp,,,,,,
2018-02-28,imoveis_dormitorio_1_pe,"37,00",imoveis,dormitorio,1,pe,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_al,"15,00",imoveis,dormitorio,4,mais,al,,,,,
2019-03-31,imoveis_implantacao_isolado_pa,"277,00",imoveis,implantacao,isolado,pa,,,,,,
2021-08-31,imoveis_valor_avaliacao_ap,"280.000,00",imoveis,valor,avaliacao,ap,,,,,,
2019-09-30,imoveis_dormitorio_2_pi,"242,00",imoveis,dormitorio,2,pi,,,,,,
2020-02-29,imoveis_tipo_apartamento_to,"94,00",imoveis,tipo,apartamento,to,,,,,,
2018-02-28,imoveis_dormitorio_1_pi,"3,00",imoveis,dormitorio,1,pi,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_am,"15,00",imoveis,dormitorio,4,mais,am,,,,,
2019-03-31,imoveis_implantacao_isolado_pb,"436,00",imoveis,implantacao,isolado,pb,,,,,,
2021-08-31,imoveis_valor_avaliacao_ba,"163.000,00",imoveis,valor,avaliacao,ba,,,,,,
2019-09-30,imoveis_dormitorio_2_pr,"2.911,00",imoveis,dormitorio,2,pr,,,,,,
2020-02-29,imoveis_tipo_casa_ac,"20,00",imoveis,tipo,casa,ac,,,,,,
2018-02-28,imoveis_dormitorio_1_pr,"327,00",imoveis,dormitorio,1,pr,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_ba,"79,00",imoveis,dormitorio,4,mais,ba,,,,,
2019-03-31,imoveis_implantacao_isolado_pe,"541,00",imoveis,implantacao,isolado,pe,,,,,,
2021-08-31,imoveis_valor_avaliacao_ce,"165.000,00",imoveis,valor,avaliacao,ce,,,,,,
2019-09-30,imoveis_dormitorio_2_rj,"2.391,00",imoveis,dormitorio,2,rj,,,,,,
2020-02-29,imoveis_tipo_casa_al,"275,00",imoveis,tipo,casa,al,,,,,,
2018-02-28,imoveis_dormitorio_1_rj,"391,00",imoveis,dormitorio,1,rj,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_ce,"70,00",imoveis,dormitorio,4,mais,ce,,,,,
2019-03-31,imoveis_implantacao_isolado_pi,"214,00",imoveis,implantacao,isolado,pi,,,,,,
2021-08-31,imoveis_valor_avaliacao_df,"310.000,00",imoveis,valor,avaliacao,df,,,,,,
2019-09-30,imoveis_dormitorio_2_rn,"597,00",imoveis,dormitorio,2,rn,,,,,,
2020-02-29,imoveis_tipo_casa_am,"359,00",imoveis,tipo,casa,am,,,,,,
2018-02-28,imoveis_dormitorio_1_rn,"33,00",imoveis,dormitorio,1,rn,,,,,,
2018-11-30,imoveis_dormitorio_4_mais_df,"49,00",imoveis,dormitorio,4,mais,df,,,,,
